Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Timestamp
0,0,1,1,1,1,1,1,2024-10-30 20:47:11.105
0,0,1,1,1,1,1,1,2024-10-30 20:47:11.306
0,0,1,1,1,1,1,1,2024-10-30 20:47:11.507
0,0,1,1,1,1,1,1,2024-10-30 20:47:11.711
0,0,1,1,1,1,1,1,2024-10-30 20:47:11.912
0,0,1,1,1,1,1,1,2024-10-30 20:47:12.113
0,0,1,1,1,1,1,1,2024-10-30 20:47:12.318
0,0,1,1,1,1,1,1,2024-10-30 20:47:12.519
0,0,1,1,1,1,1,1,2024-10-30 20:47:12.719
0,0,1,1,1,1,1,1,2024-10-30 20:47:12.923
0,0,1,1,1,1,1,1,2024-10-30 20:47:13.124
0,0,1,1,1,1,1,1,2024-10-30 20:47:13.325
0,0,1,1,1,1,1,1,2024-10-30 20:47:13.526
0,0,1,1,1,1,1,1,2024-10-30 20:47:13.731
0,0,1,1,1,1,1,1,2024-10-30 20:47:13.931
0,0,1,1,1,1,1,1,2024-10-30 20:47:14.133
0,0,1,1,1,1,1,1,2024-10-30 20:47:14.337
0,0,1,1,1,1,1,1,2024-10-30 20:47:14.538
0,0,1,1,1,1,1,1,2024-10-30 20:47:14.739
0,0,1,1,1,1,1,1,2024-10-30 20:47:14.943
0,0,1,1,1,1,1,1,2024-10-30 20:47:15.144
0,0,1,1,1,1,1,1,2024-10-30 20:47:15.346
0,0,1,1,1,1,1,1,2024-10-30 20:47:15.549
0,0,1,1,1,1,1,1,2024-10-30 20:47:15.750
0,0,1,1,1,1,1,1,2024-10-30 20:47:15.951
0,0,1,1,1,1,1,1,2024-10-30 20:47:16.152
0,0,1,1,1,1,1,1,2024-10-30 20:47:16.356
0,0,1,1,1,1,1,1,2024-10-30 20:47:16.556
0,0,1,1,1,1,1,1,2024-10-30 20:47:16.757
0,0,1,1,1,1,1,1,2024-10-30 20:47:16.962
0,0,1,1,1,1,1,1,2024-10-30 20:47:17.163
0,0,1,1,1,1,1,1,2024-10-30 20:47:17.365
0,0,1,1,1,1,1,1,2024-10-30 20:47:17.568
0,0,1,1,1,1,1,1,2024-10-30 20:47:17.770
0,0,1,1,1,1,1,1,2024-10-30 20:47:17.971
0,0,1,1,1,1,1,1,2024-10-30 20:47:18.174
0,0,1,1,1,1,1,1,2024-10-30 20:47:18.376
0,0,1,1,1,1,1,1,2024-10-30 20:47:18.577
0,0,1,1,1,1,1,1,2024-10-30 20:47:18.778
0,0,1,1,1,1,1,1,2024-10-30 20:47:18.981
0,0,1,1,1,1,1,1,2024-10-30 20:47:19.183
0,0,1,1,1,1,1,1,2024-10-30 20:47:19.384
0,0,1,1,1,1,1,1,2024-10-30 20:47:19.588
0,0,1,1,1,1,1,1,2024-10-30 20:47:19.789
0,0,1,1,1,1,1,1,2024-10-30 20:47:19.990
0,0,1,1,1,1,1,1,2024-10-30 20:47:20.194
0,0,1,1,1,1,1,1,2024-10-30 20:47:20.395
0,0,1,1,1,1,1,1,2024-10-30 20:47:20.596
0,0,1,1,1,1,1,1,2024-10-30 20:47:20.800
0,0,1,1,1,1,1,1,2024-10-30 20:47:21.001
0,0,1,1,1,1,1,1,2024-10-30 20:47:21.202
0,0,1,1,1,1,1,1,2024-10-30 20:47:21.403
0,0,1,1,1,1,1,1,2024-10-30 20:47:21.607
0,0,1,1,1,1,1,1,2024-10-30 20:47:21.808
0,0,1,1,1,1,1,1,2024-10-30 20:47:22.009
0,0,1,1,1,1,1,1,2024-10-30 20:47:22.213
0,0,1,1,1,1,1,1,2024-10-30 20:47:22.414
0,0,1,1,1,1,1,1,2024-10-30 20:47:22.615
0,0,1,1,1,1,1,1,2024-10-30 20:47:22.819
0,0,1,1,1,1,1,1,2024-10-30 20:47:23.020
0,0,1,1,1,1,1,1,2024-10-30 20:47:23.221
0,0,1,1,1,1,1,1,2024-10-30 20:47:23.425
0,0,1,1,1,1,1,1,2024-10-30 20:47:23.626
0,0,1,1,1,1,1,1,2024-10-30 20:47:23.827
0,0,1,1,1,1,1,1,2024-10-30 20:47:24.029
0,0,1,1,1,1,1,1,2024-10-30 20:47:24.232
0,0,1,1,1,1,1,1,2024-10-30 20:47:24.433
0,0,1,1,1,1,1,1,2024-10-30 20:47:24.634
0,0,1,1,1,1,1,1,2024-10-30 20:47:24.838
0,0,1,1,1,1,1,1,2024-10-30 20:47:25.039
0,0,1,1,1,1,1,1,2024-10-30 20:47:25.240
0,0,1,1,1,1,1,1,2024-10-30 20:47:25.444
0,0,1,1,1,1,1,1,2024-10-30 20:47:25.646
0,0,1,1,1,1,1,1,2024-10-30 20:47:25.847
0,0,1,1,1,1,1,1,2024-10-30 20:47:26.051
0,0,1,1,1,1,1,1,2024-10-30 20:47:26.252
0,0,1,1,1,1,1,1,2024-10-30 20:47:26.453
0,0,1,1,1,1,1,1,2024-10-30 20:47:26.655
0,0,1,1,1,1,1,1,2024-10-30 20:47:26.857
0,0,1,1,1,1,1,1,2024-10-30 20:47:27.059
0,0,1,1,1,1,1,1,2024-10-30 20:47:27.260
0,0,1,1,1,1,1,1,2024-10-30 20:47:27.464
0,0,1,1,1,1,1,1,2024-10-30 20:47:27.665
0,0,1,1,1,1,1,1,2024-10-30 20:47:27.866
0,0,1,1,1,1,1,1,2024-10-30 20:47:28.070
0,0,1,1,1,1,1,1,2024-10-30 20:47:28.271
0,0,1,1,1,1,1,1,2024-10-30 20:47:28.472
0,0,1,1,1,1,1,1,2024-10-30 20:47:28.676
0,0,1,1,1,1,1,1,2024-10-30 20:47:28.877
0,0,1,1,1,1,1,1,2024-10-30 20:47:29.078
0,0,1,1,1,1,1,1,2024-10-30 20:47:29.282
0,0,1,1,1,1,1,1,2024-10-30 20:47:29.483
0,0,1,1,1,1,1,1,2024-10-30 20:47:29.684
0,0,1,1,1,1,1,1,2024-10-30 20:47:29.885
0,0,1,1,1,1,1,1,2024-10-30 20:47:30.089
0,0,1,1,1,1,1,1,2024-10-30 20:47:30.290
0,0,1,1,1,1,1,1,2024-10-30 20:47:30.492
0,0,1,1,1,1,1,1,2024-10-30 20:47:30.695
0,0,1,1,1,1,1,1,2024-10-30 20:47:30.897
